,angle average,accept. rate,run time
chain 1,-0.3325708971375419,42.0,89209.3
chain 13,-0.3401849058173111,42.0,90578.1
chain 19,-0.3346835928676739,42.0,90466.5
chain 7,-0.3429323936096493,42.0,90556.1
chain 27,-0.347548233418841,42.0,90277.9
chain 28,-0.3416429918267427,42.0,90231.0
chain 10,-0.3136942797999405,43.0,90614.8
chain 23,-0.3235912835318824,43.0,90346.3
chain 24,-0.3295942602283159,42.0,90501.0
chain 3,-0.3403040538341882,42.0,90102.0
chain 4,-0.3325593970225409,42.0,90492.7
chain 30,-0.3341918379501247,43.0,90414.3
chain 26,-0.3321042258041619,43.0,89845.0
chain 21,-0.3392184755180875,42.0,90161.7
chain 14,-0.319251117114345,43.0,90394.8
chain 8,-0.3340617056964211,42.0,90383.1
chain 9,-0.3327992803737554,42.0,90633.1
chain 11,-0.3387209229235141,42.0,90441.3
chain 6,-0.3378668191443812,43.0,90410.9
chain 20,-0.338597552642192,43.0,90321.9
chain 17,-0.3347386688152589,42.0,90510.3
chain 5,-0.340801753255627,42.0,90278.3
chain 2,-0.3346351479387802,42.0,90401.6
chain 15,-0.3295530455304547,42.0,90373.8
chain 29,-0.3332295545177666,42.0,90398.4
chain 22,-0.3440465436400385,42.0,90601.3
chain 16,-0.324784493876684,43.0,90276.9
chain 18,-0.3327012714571583,42.0,90364.8
chain 25,-0.3286094686343681,42.0,90266.9
chain 12,-0.3322275802123093,43.0,90391.8
