,angle average,accept. rate,run time
chain 14,-0.3268555518888523,34.0,229.151
chain 24,-0.3321664216642167,34.0,228.92
chain 4,-0.327359173591736,35.0,231.126
chain 18,-0.3322040220402205,34.0,228.368
chain 30,-0.3348406984069842,34.0,228.472
chain 2,-0.3289513895138952,35.0,228.603
chain 19,-0.3330834975016417,34.0,228.658
chain 25,-0.3383624502911697,34.0,244.035
chain 11,-0.3320572372390392,34.0,235.154
chain 23,-0.3264411310779775,34.0,232.509
chain 29,-0.3316787334540013,34.0,232.465
chain 9,-0.3293044597112638,35.0,229.064
chain 22,-0.3317298339650065,35.0,233.26
chain 12,-0.3351705683723505,35.0,242.798
chain 10,-0.336706183728504,34.0,230.619
chain 5,-0.3373174398410652,34.0,230.054
chain 6,-0.3397101304346377,34.0,229.928
chain 1,-0.3353005196718636,34.0,228.326
chain 26,-0.3288636386363864,34.0,243.058
chain 21,-0.3356456064560647,34.0,229.215
chain 27,-0.3324831414980818,34.0,228.679
chain 20,-0.3350397837311707,34.0,230.392
chain 15,-0.3314588979223127,34.0,238.409
chain 7,-0.3309262425957594,35.0,228.966
chain 28,-0.3318525685256854,35.0,232.677
chain 17,-0.3329529961966287,34.0,229.689
chain 3,-0.3358858588585887,34.0,245.067
chain 8,-0.3298857655243221,34.0,233.513
chain 13,-0.3335700690340238,34.0,235.722
chain 16,-0.3344684280176137,34.0,230.891
