,angle average,accept. rate,run time
chain 14,-0.3336571230295631,35.0,21850.5
chain 24,-0.3229473700987005,35.0,21998.4
chain 4,-0.3374968541352074,34.0,22392.0
chain 18,-0.3345055794307937,35.0,22139.9
chain 30,-0.3331697066970664,35.0,22291.7
chain 2,-0.334412073287399,35.0,22472.2
chain 19,-0.3304268719770525,35.0,22024.6
chain 25,-0.3315723990573234,35.0,22085.7
chain 11,-0.3473947812394785,35.0,21692.4
chain 23,-0.3330723463484629,35.0,21941.0
chain 29,-0.331614691146911,35.0,21937.8
chain 9,-0.3293865490738236,35.0,22254.2
chain 22,-0.3392080795807952,35.0,22134.3
chain 12,-0.3338996723300561,34.0,22130.3
chain 10,-0.3419216587999207,34.0,21723.1
chain 5,-0.335219310526438,35.0,22004.5
chain 6,-0.3387488301966347,35.0,22484.0
chain 1,-0.3231727265189313,35.0,22007.3
chain 26,-0.329253657119904,35.0,22513.9
chain 21,-0.3385119059523923,34.0,22214.4
chain 27,-0.3327377752944191,35.0,22227.6
chain 20,-0.3466837793377928,34.0,22609.1
chain 15,-0.3325779820298198,35.0,21932.1
chain 7,-0.3248483422334218,35.0,22126.3
chain 28,-0.335349348285149,35.0,22463.4
chain 17,-0.3364579791631243,35.0,22196.6
chain 3,-0.329816996086627,35.0,22088.1
chain 8,-0.3379921195045278,35.0,21772.9
chain 13,-0.3425862800294664,35.0,22269.8
chain 16,-0.3358398479818126,35.0,22032.1
