,angle average,accept. rate,run time
chain 12,-0.3339969233025659,33.0,9.19543
chain 25,-0.3366393663936634,33.0,9.15906
chain 4,-0.3320006533398663,33.0,8.93
chain 13,-0.3362053620536199,33.0,9.20028
chain 16,-0.3324069907365735,33.0,9.02059
chain 1,-0.3328908289082886,33.0,8.46834
chain 19,-0.3315600656006556,33.0,8.85323
chain 23,-0.3309618929522623,33.0,8.56806
chain 18,-0.3338255049217155,33.0,9.20468
chain 3,-0.3340071734050669,33.0,8.74284
chain 10,-0.3328047447141132,33.0,9.12321
chain 21,-0.334748680820141,33.0,9.57101
chain 17,-0.331414814148141,33.0,9.59037
chain 2,-0.333695086950869,33.0,9.74329
chain 27,-0.3324435744357439,33.0,9.36969
chain 14,-0.3358562752294186,33.0,8.81326
chain 9,-0.3324649913165793,33.0,9.15295
chain 30,-0.33317149838165,33.0,8.49891
chain 7,-0.3311113944472773,33.0,9.12211
chain 28,-0.3351928519285188,33.0,8.95724
chain 11,-0.3326728267282667,33.0,9.00517
chain 20,-0.3339770897708972,33.0,9.27008
chain 29,-0.3299937166038322,33.0,9.57211
chain 6,-0.3333819171525043,33.0,5.01498
chain 26,-0.3341263412634121,33.0,9.39061
chain 5,-0.3343788437884374,33.0,9.04653
chain 24,-0.3344535112017782,33.0,9.4302
chain 15,-0.3350486004860044,33.0,9.10062
chain 8,-0.3344960949609491,33.0,8.6064
chain 22,-0.3330613306133056,33.0,8.90658
