,angle average,accept. rate,run time
chain 14,-0.3328483284832848,37.0,35.9023
chain 24,-0.3368194619446194,37.0,36.7103
chain 4,-0.3288779137791378,37.0,36.7145
chain 18,-0.3370112451124511,37.0,34.5089
chain 30,-0.333405115301153,37.0,34.5387
chain 2,-0.3391795480454804,37.0,34.7522
chain 19,-0.3293289182891828,37.0,34.566
chain 25,-0.3347549100491005,37.0,34.669
chain 11,-0.3313386883868838,37.0,36.2242
chain 23,-0.3361229237292373,37.0,34.5844
chain 29,-0.334005496304963,37.0,34.7982
chain 9,-0.3336651491514915,37.0,34.5162
chain 22,-0.3319240067400674,37.0,34.5249
chain 12,-0.3334004277542776,37.0,34.6158
chain 10,-0.3306760880108801,37.0,34.5609
chain 5,-0.336255456304563,37.0,34.7911
chain 6,-0.3337736814868148,37.0,34.9704
chain 1,-0.3384646658966589,37.0,34.4315
chain 26,-0.332089570895709,37.0,34.5265
chain 21,-0.3302863653636536,37.0,36.6595
chain 27,-0.3329642983929839,37.0,36.3846
chain 20,-0.3390537342873428,37.0,34.5218
chain 15,-0.3321161961619616,37.0,34.5314
chain 7,-0.3319848198481985,37.0,34.6049
chain 28,-0.3391845793457934,37.0,37.3725
chain 17,-0.3351499452494525,37.0,34.6023
chain 3,-0.3314917211672117,37.0,34.5287
chain 8,-0.3346083460834608,37.0,34.7055
chain 13,-0.3259783222832229,37.0,36.7744
chain 16,-0.333975308503085,37.0,35.3582
