,angles_average,angles_std,angles_quantum_spread,chains_length,chains_assembled,sigma,burnin
j=0.5,-0.3333061441725524,0.001950588928559,0.6666643875036683,1000000,30,0.4,10
j=1,-0.333691174411744,0.0031339761497567,0.6307269527577831,1000000,30,0.35,10
j=1.5,-0.3327424146463688,0.0032803528584128,0.6263106144028641,1000000,30,0.35,10
j=2,-0.333615690670796,0.0035742073286306,0.627461924487671,1000000,30,0.35,10
j=2.5,-0.3332254129684164,0.0046352019085268,0.6302080550478852,1000000,30,0.35,10
j=3,-0.3344827545497672,0.0057597359327231,0.6322638399091259,1000000,30,0.35,10
j=3.5,-0.3340481918046685,0.0071644561304765,0.6351351524225994,1000000,30,0.32,10
j=4,-0.332651432555992,0.0111545535791884,0.6364627462536521,1000000,30,0.3,10
