,angle average,accept. rate,run time
chain 14,-0.3336437426874273,34.0,1323.79
chain 24,-0.3347267431007648,34.0,1338.38
chain 4,-0.3301209470428042,34.0,1329.55
chain 18,-0.3303471576382434,34.0,1321.78
chain 30,-0.3308263811804789,34.0,1343.81
chain 2,-0.3378597535975364,34.0,1341.89
chain 19,-0.3300105188551889,34.0,1338.94
chain 25,-0.342087368790355,34.0,1341.45
chain 11,-0.3337158788254553,34.0,1357.11
chain 23,-0.3326502327523279,34.0,1332.28
chain 29,-0.328234771931053,34.0,1348.53
chain 9,-0.3306463481301483,34.0,1331.18
chain 22,-0.3373686966036331,34.0,1357.5
chain 12,-0.3376513869305364,34.0,1327.27
chain 10,-0.337728450201169,34.0,1329.65
chain 5,-0.3302713756304233,34.0,1337.33
chain 6,-0.3385634898015651,34.0,1334.19
chain 1,-0.3403525806091398,34.0,1354.39
chain 26,-0.3269729884798852,34.0,1330.9
chain 21,-0.3339023911072448,34.0,1348.36
chain 27,-0.3359255988393222,34.0,1344.48
chain 20,-0.333268603519369,34.0,1333.69
chain 15,-0.3327870153701542,34.0,1330.9
chain 7,-0.3348348066814005,34.0,1324.64
chain 28,-0.333790369153692,34.0,1346.47
chain 17,-0.3323860009433431,34.0,1329.77
chain 3,-0.3318455580389141,34.0,1340.12
chain 8,-0.328674015906826,34.0,1349.81
chain 13,-0.3341740709073763,34.0,1342.45
chain 16,-0.3331034768681025,34.0,1344.39
